NOTE_IQOA;COMMENTAIRE
1;CLASSE 1 : OUVRAGE EN BON ÉTAT APPARENT RELEVANT DE L''ENTRETIEN COURANT AU SENS DE L''INSTRUCTION TECHNIQUE SUR LA SURVEILLANCE ET L''ENTRETIEN DES OUVRAGES D''ART.
1S;CLASSE 1S : OUVRAGE EN BON ÉTAT APPARENT RELEVANT DE L''ENTRETIEN COURANT AU SENS DE L''INSTRUCTION TECHNIQUE SUR LA SURVEILLANCE ET L''ENTRETIEN DES OUVRAGES D''ART.¤r¤n¤ + RISQUE POUR L''USAGER.
2;CLASSE 2 : OUVRAGE, ¤r¤n¤ - DONT LA STRUCTURE EST EN BON ÉTAT APPARENT MAIS DONT LES ÉQUIPEMENTS OU LES ÉLÉMENTS DE PROTECTION PRÉSENTENT DES DÉFAUTS,¤r¤n¤ - OU DONT LA STRUCTURE PRÉSENTE DES DÉFAUTS MINEURS, ET QUI NECESSITE UN ENTRETIEN SPÉCIALISÉ SANS CARACTÈRE D''URGENCE.
2E;CLASSE 2E : OUVRAGE, ¤r¤n¤ - DONT LA STRUCTURE EST EN BON ÉTAT APPARENT MAIS DONT LES ÉQUIPEMENTS OU LES ÉLÉMENTS DE PROTECTION PRÉSENTENT DES DÉFAUTS,¤r¤n¤ - OU DONT LA STRUCTURE PRÉSENTE DES DÉFAUTS MINEURS, ¤r¤n¤ - ET QUI NECESSITE UN ENTRETIEN SPÉCIALISÉ URGENT, POUR PRÉVENIR LE DÉVELOPPEMENT RAPIDE DE DÉSORDRES DANS LA STRUCTURE ET SON CLASSEMENT ULTÉRIEUR EN 3.
2ES;CLASSE 2ES : OUVRAGE, ¤r¤n¤ - DONT LA STRUCTURE EST EN BON ÉTAT APPARENT MAIS DONT LES ÉQUIPEMENTS OU LES ÉLÉMENTS DE PROTECTION PRÉSENTENT DES DÉFAUTS,¤r¤n¤ - OU DONT LA STRUCTURE PRÉSENTE DES DÉFAUTS MINEURS, ¤r¤n¤ - ET QUI NECESSITE UN ENTRETIEN SPÉCIALISÉ URGENT, POUR PRÉVENIR LE DÉVELOPPEMENT RAPIDE DE DÉSORDRES DANS LA STRUCTURE ET SON CLASSEMENT ULTÉRIEUR EN 3.¤r¤n¤ + RISQUE POUR L''USAGER.
2S;CLASSE 2S : OUVRAGE, ¤r¤n¤ - DONT LA STRUCTURE EST EN BON ÉTAT APPARENT MAIS DONT LES ÉQUIPEMENTS OU LES ÉLÉMENTS DE PROTECTION PRÉSENTENT DES DÉFAUTS,¤r¤n¤ - OU DONT LA STRUCTURE PRÉSENTE DES DÉFAUTS MINEURS, ET QUI NECESSITE UN ENTRETIEN SPÉCIALISÉ SANS CARACTÈRE D''URGENCE.¤r¤n¤ + RISQUE POUR L''USAGER.
3;CLASSE 3 : OUVRAGE, DONT LA STRUTURE EST ALTÉRÉE ET QUI NÉCESSITE DES TRAVAUX DE RÉPARATION MAIS SANS CARACTÈRE D''URGENCE.
3S;CLASSE 3S : OUVRAGE, DONT LA STRUTURE EST ALTÉRÉE ET QUI NÉCESSITE DES TRAVAUX DE RÉPARATION MAIS SANS CARACTÈRE D''URGENCE.¤r¤n¤ + RISQUE POUR L''USAGER.
3U;CLASSE 3U : OUVRAGE DONT LA STRUTURE EST GRAVEMENT ALTÉRÉE, ET QUI NÉCESSITE DES TRAVAUX DE RÉPARATION URGENTS LIÉS À L''INSUFFISANCE DE CAPACITÉ PORTANTE DE L''OUVRAGE OU À LA RAPIDITÉ D''ÉVOLUTION DES DÉSORDRES POUVANT Y CONDUIRE À BRÈVE ÉCHÉANCE.
3US;CLASSE 3US : OUVRAGE DONT LA STRUTURE EST GRAVEMENT ALTÉRÉE, ET QUI NÉCESSITE DES TRAVAUX DE RÉPARATION URGENTS LIÉS À L''INSUFFISANCE DE CAPACITÉ PORTANTE DE L''OUVRAGE OU À LA RAPIDITÉ D''ÉVOLUTION DES DÉSORDRES POUVANT Y CONDUIRE À BRÈVE ÉCHÉANCE.¤r¤n¤ + RISQUE POUR L''USAGER.
ND;NON DÉFINIE
